graph,size_parameter,n_nodes,n_edges,k,algorithm,cut_weight,normalized_cut,balance_ratio,runtime_seconds,consensus_error,cross_messages
grid,6,36,60,4,greedy,23.0,1.585452853598015,1.0,0.0010206999722868204,0.002739130754074151,3680.0
grid,6,36,60,4,spectral,19.0,1.2648809523809523,1.0,0.004509199992753565,0.002739130754074151,3040.0
grid,6,36,60,4,kernighan_lin,18.0,1.19376026272578,1.0,0.014354499988257885,0.002739130754074151,2880.0
grid,8,64,112,4,greedy,40.0,1.433932052353105,1.0,0.0005824000108987093,0.015649690583015328,6400.0
grid,8,64,112,4,spectral,20.0,0.7142857142857143,1.0,0.008596200030297041,0.015649690583015328,3200.0
grid,8,64,112,4,kernighan_lin,20.0,0.7142857142857143,1.0,0.010666300018783659,0.015649690583015328,3200.0
grid,10,100,180,4,greedy,65.0,1.4443177415378112,1.0,0.0008443999686278403,0.02494785858806076,10400.0
grid,10,100,180,4,spectral,32.0,0.7107050253117668,1.0,0.007777999970130622,0.02494785858806076,5120.0
grid,10,100,180,4,kernighan_lin,29.0,0.6439065331346718,1.0,0.09688780002761632,0.02494785858806076,4640.0
erdos_renyi,40,40,93,4,greedy,54.0,2.4356378399100067,1.0,0.00038320000749081373,0.0007631986255976598,8640.0
erdos_renyi,40,40,93,4,spectral,44.0,1.9336343082874072,1.0,0.0019502000068314373,0.0007631986255976598,7040.0
erdos_renyi,40,40,93,4,kernighan_lin,37.0,1.5865645793455474,1.0,0.008664699969813228,0.0007631986255976598,5920.0
erdos_renyi,80,80,248,4,greedy,122.0,1.9707104228788288,1.0,0.0020741000189445913,0.002596825691720796,19520.0
erdos_renyi,80,80,248,4,spectral,151.0,2.4285353535353535,1.0,0.015116600028704852,0.002596825691720796,24160.0
erdos_renyi,80,80,248,4,kernighan_lin,119.0,1.9262438788465026,1.0,0.03028669999912381,0.002596825691720796,19040.0
geometric,50,50,330,4,greedy,179.0,2.2101032893532015,1.04,0.002895599987823516,3.356267626274125e-05,28640.0
geometric,50,50,330,4,spectral,136.0,1.6456590668881173,1.04,0.006719500001054257,3.356267626274125e-05,21760.0
geometric,50,50,330,4,kernighan_lin,136.0,1.6456590668881173,1.04,0.011686399986501783,3.356267626274125e-05,21760.0
geometric,90,90,628,4,greedy,278.0,1.8125255259446436,1.0222222222222221,0.0013871999690309167,0.0026386353285829983,44480.0
geometric,90,90,628,4,spectral,155.0,0.9894824854041029,1.0222222222222221,0.029034100007265806,0.0026386353285829983,24800.0
geometric,90,90,628,4,kernighan_lin,153.0,0.976977615906635,1.0222222222222221,0.08263830002397299,0.0026386353285829983,24480.0
karate,34,34,78,2,greedy,25.0,0.21671013377863668,1.0,0.00029039999935775995,0.017616418952390165,1920.0
karate,34,34,78,2,spectral,25.0,0.21659634317862164,1.0,0.0018917000270448625,0.017616418952390165,1760.0
karate,34,34,78,2,kernighan_lin,23.0,0.19937332307634575,1.0,0.005779900006018579,0.017616418952390165,1600.0
